127.0.0.1 - - [28/Feb/2014:03:34:38 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 1688
127.0.0.1 - - [28/Feb/2014:03:38:19 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:38:20 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:38:20 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 86
127.0.0.1 - - [28/Feb/2014:03:38:47 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:38:47 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:38:47 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 132
127.0.0.1 - - [28/Feb/2014:03:38:48 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:38:48 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:38:48 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:38:54 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:38:54 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:38:54 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 200 134
127.0.0.1 - - [28/Feb/2014:03:38:55 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:38:55 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:38:55 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:38:55 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:38:55 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:38:55 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:38:55 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
127.0.0.1 - - [28/Feb/2014:03:38:55 -0430] "GET /catalogo_productos_consola/css/plantillas/encabezado.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:38:55 -0430] "GET /catalogo_productos_consola/css/index.css HTTP/1.1" 304 -
127.0.0.1 - - [28/Feb/2014:03:39:04 -0430] "GET /catalogo_productos_consola/jsp/index.jsp HTTP/1.1" 200 962
